SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
3,24.3,389693,21,23,tcp,1540,4,11339,16091,24780100,Switch1,Router,35.529786,35.529786,35.539909,0,328.240918,505490,1540,0.236321,0,35.519662,35.550032,1,50.02192,Normal
15,24.15,201196,23,24,tcp,1540,16,6274,16092,24781700,Router,server1,20.176725,20.176725,20.186848,0,328.205808,505437,1540,0.236337,0,20.156478,20.186848,1,50.030211,Normal
24.15,15,61905,23,22,ack,55,16,1930,16092,885060,Router,Switch2,7.049955,7.049955,7.059958,0,328.206042,18051.3,55,0.008441,0,7.039952,7.069962,1.030045,50.060221,UDP-Flood
13,24.13,368498,22,23,tcp,1540,14,10809,16103,24798600,Switch2,Router,33.905671,33.905671,33.915794,0,328.460131,505828,1540,0.236498,0,33.895548,33.925917,1,50.025737,Normal
14,24.14,324931,14,22,tcp,1540,15,9707,16103,24798600,clien-14,Switch2,30.550052,30.550052,30.560175,0,328.431807,505785,1540,0.236498,0,30.550052,30.580421,1,50.029965,Normal
8,24.8,240403,21,23,tcp,1540,9,7500,16088,24775500,Switch1,Router,23.858973,23.858973,23.869096,0,328.11323,505294,1540,0.236278,0,23.84885,23.879219,1,50.031854,Normal
5.2,24.47,13177,5,21,cbr,1500,26,505,9108,13662000,client-5,switch1,13.288,13.28812,13.29824,0.00012,1016.522962,1524780,1500,0.130291,0.03204,13.288,13.32004,1,9.959955,UDP-Flood
12,24.12,101218,23,24,tcp,1540,13,3164,16103,24798600,Router,server1,10.765208,10.765208,10.775331,0,328.491489,505876,1540,0.236498,0,10.744962,10.775331,1,50.021057,Normal
13,24.13,178686,22,23,tcp,1540,14,5574,16103,24798600,Switch2,Router,18.047072,18.047072,18.057196,0,328.460131,505828,1540,0.236498,0,18.036949,18.067319,1,50.025737,Normal
9.2,24.51,76653,23,24,cbr,692,30,2945,9108,6302740,router,server1,72.703397,72.706701,72.716757,0.003304,1016.496869,703416,692,0.060108,0.036757,72.68,72.716757,1,9.960185,UDP-Flood
11.1,24.31,385534,11,22,cbr,1000,32,1275,6250,6250000,clien-11,Switch2,35.2,35.2,35.21008,0,124.943825,124944,1000,0.059605,0.00028,35.2,35.23052,25,75.02248,Normal
0.1,24.2,583358,0,21,cbr,1000,21,3359,6250,6250000,clien-0,Switch1,51.872,51.872,51.88208,0,124.944425,124944,1000,0.059605,0,51.872,51.90224,25,75.02224,Normal
24,0,448699,24,23,ack,55,1,12814,16091,885005,server1,Router,40.045408,40.045408,40.055411,0,328.316229,18057.4,55,0.00844,0,40.045408,40.075418,1.03001,50.040685,Normal
14,24.14,417417,23,24,tcp,1540,15,12031,16103,24798600,Router,server1,37.666776,37.666776,37.676899,0,328.431807,505785,1540,0.236498,0,37.64653,37.676899,1,50.029965,Normal
13.2,24.55,11619,22,23,cbr,692,34,449,9108,6302740,switch2,router,11.835798,11.838918,11.848974,0.00312,1016.443439,703379,692,0.060108,0.037227,11.825143,11.86237,1,9.960656,UDP-Flood
3.2,24.45,31952,3,21,cbr,1500,24,1162,8655,12982500,client-3,switch1,30.795429,30.795669,30.805789,0.00024,962.684973,1444030,1500,0.123811,0.03156,30.795429,30.826989,1,9.99048,UDP-Flood
8.1,24.28,608718,21,23,cbr,1000,29,4618,6250,6250000,Switch1,Router,61.95408,61.95472,61.9648,0.00064,124.941228,124941,1000,0.059605,0.00128,61.944,61.97552,25,75.02352,Normal
24.3,3,394040,24,23,ack,55,4,11432,16091,885005,server1,Router,35.852681,35.852681,35.862684,0,328.241051,18053.3,55,0.00844,0,35.852681,35.88269,1.030029,50.051929,Normal
12,24.12,450208,23,24,tcp,1540,13,12863,16103,24798600,Router,server1,40.181126,40.182165,40.192288,0.001039,328.491489,505876,1540,0.236498,0.001477,40.160442,40.192288,1,50.021057,Normal
16.1,24.36,406815,16,22,cbr,1000,37,1479,6250,6250000,clien-16,Switch2,36.832,36.832,36.84208,0,124.941827,124942,1000,0.059605,0.001105,36.832,36.863345,25,75.02328,Normal
24.4,4,96521,21,4,ack,55,5,3005,16091,885005,Switch1,clien-4,10.32253,10.32253,10.332533,0,328.218006,18052,55,0.00844,0,10.302523,10.332533,1.030035,50.055377,Normal
9,24.9,121264,23,24,tcp,1540,10,3783,16085,24770900,Router,server1,12.651381,12.651381,12.661504,0,328.063862,505218,1540,0.236234,0,12.631134,12.661504,1,50.030088,Normal
7,24.7,303337,21,23,tcp,1540,8,9152,16090,24778600,Switch1,Router,28.905821,28.905821,28.915944,0,328.167486,505378,1540,0.236307,0,28.895698,28.926067,1,50.029842,Normal
24.14,14,86077,24,23,ack,55,15,2676,16103,885665,server1,Router,9.315882,9.315882,9.325885,0,328.432001,18063.8,55,0.008446,0,9.315882,9.345891,1.030038,50.059974,Normal
0,24,401464,21,23,tcp,1540,1,11637,16091,24780100,Switch1,Router,36.433589,36.433589,36.443712,0,328.316229,505606,1540,0.236321,0,36.423466,36.453835,1,50.010675,Normal
0,24,479258,21,23,tcp,1540,1,13595,16091,24780100,Switch1,Router,42.400455,42.400455,42.410578,0,328.316229,505606,1540,0.236321,0,42.390331,42.420701,1,50.010675,Normal
0,24,411517,21,23,tcp,1540,1,11889,16091,24780100,Switch1,Router,37.202965,37.203272,37.213395,0.000307,328.316229,505606,1540,0.236321,0.0016,37.192842,37.224811,1,50.010675,Normal
24,0,438115,24,23,ack,55,1,12550,16091,885005,server1,Router,39.232786,39.232786,39.242789,0,328.316229,18057.4,55,0.00844,0,39.232786,39.262795,1.03001,50.040685,Normal
3,24.3,293257,23,24,tcp,1540,4,8906,16091,24780100,Router,server1,28.141704,28.142504,28.152627,0.0008,328.240918,505490,1540,0.236321,0.0016,28.120658,28.152627,1,50.02192,Normal
17.2,24.59,67877,17,22,cbr,1500,38,2599,9108,13662000,client-17,switch2,64.341714,64.341834,64.351954,0.00012,1016.424609,1524640,1500,0.130291,0.03288,64.341714,64.374594,1,9.960822,UDP-Flood
3.1,24.23,561477,23,24,cbr,1000,24,2962,6250,6250000,Router,server1,48.716402,48.716765,48.726845,0.000363,124.943226,124943,1000,0.059605,0.000605,48.696,48.726845,25,75.02272,Normal
24,0,489219,24,23,ack,55,1,13835,16091,885005,server1,Router,43.153158,43.153158,43.163162,0,328.316229,18057.4,55,0.00844,0,43.153158,43.183168,1.03001,50.040685,Normal
24.14,14,498333,22,14,ack,55,15,14068,16103,885665,Switch2,clien-14,43.873418,43.873418,43.883421,0,328.432001,18063.8,55,0.008446,0,43.853411,43.883421,1.030038,50.059974,Normal
10,24.1,496953,23,24,tcp,1540,11,14050,16103,24798600,Router,server1,43.767699,43.767714,43.777838,0.000015,328.561898,505985,1540,0.236498,0.000015,43.747453,43.777838,1,50.010552,Normal
24.1,1,3868,21,1,ack,55,2,111,16091,885005,Switch1,clien-1,1.596386,1.596386,1.606389,0,328.297902,18056.4,55,0.00844,0,1.576379,1.606389,1.030016,50.043427,Normal
11.1,24.31,494819,22,23,cbr,1000,32,2323,6250,6250000,Switch2,Router,43.59408,43.59416,43.60424,0.00008,124.943825,124944,1000,0.059605,0.000232,43.584,43.614472,25,75.02248,Normal
